62a7575fd82ddf028517780c01fecf7e0cca27aa,"REL: Release 1.8.1
",doc/release/1.8.1-notes.rst
4827cf16aa87367e6f606fa68c46f9b08bc3352d,"BUG: catch overflow of nominator in datetime conversions

closes gh-4486
",numpy/core/src/multiarray/datetime.c,numpy/core/tests/test_datetime.py
1884f1b1c89e775f3596042c9bfb5aa160e21239,"Merge pull request #4517 from juliantaylor/bytebounds-1.8

backport bytebounds fix to 1.8",doc/release/1.8.1-notes.rst,numpy/lib/tests/test_utils.py,numpy/lib/utils.py
dfc7c5abe26a3ebe96e64ee07ff786b9da9aec15,"DOC: add byte_bounds issue to release notes
",doc/release/1.8.1-notes.rst
d9d8aee53b56941e6ea24cc9693a6172f3f44abd,"TST: add unittest for byte_bounds
",numpy/lib/tests/test_utils.py
74097820fdabf72768a17935a98fd540c095ae7e,"FIX: missing asarray import in numpy.libs.utils
",numpy/lib/utils.py
eb814f3c86b7d75d8635bd57cec319e9e8a2cb14,"BUG: fix ValueError for byte_bounds() on datetime array
close gh-4354
",numpy/lib/utils.py
7a01ef579790a2218848e68ae8ad9ddbe232fd9f,"Merge pull request #4513 from charris/backport-1.8-gh-4387

ENH: Make output of get_atlas_info conditional on system_info.verbosity",doc/release/1.8.1-notes.rst,numpy/distutils/command/config.py,numpy/distutils/exec_command.py,numpy/distutils/system_info.py
938a5eed9618d5749adc47879bc7119234bda748,"DOC: Document new ability to silence get_atlas_info in release notes.
",doc/release/1.8.1-notes.rst
4e165629b3ccc6ebefa72b468ffcf16a93ed3bee,"ENH: Make output of get_atlas_info conditional on system_info.verbosity
",numpy/distutils/command/config.py,numpy/distutils/exec_command.py,numpy/distutils/system_info.py
79d3089e24e1ad7d1d4f97a4872a63ac83e8f25d,"Merge pull request #4511 from juliantaylor/quant-1.8

backport gh-4503 to 1.8",numpy/core/function_base.py,numpy/core/tests/test_function_base.py
ffc0d2c498cb990ca07fe18f3a5b57bb9af48636,"BUG: Fix linspace for use with physical quantities

The fix for issue 3504 led to errors when using linspace with the quantities package. Multiplying with 1 instead of adding 0 prevents issues when using physical quantities.
",numpy/core/function_base.py,numpy/core/tests/test_function_base.py
d4117e58c1460d4b2ae76e7a7e6bbea60beb8e30,"Merge pull request #4510 from charris/Backport-1.8-gh-4456

Backport-1.8-gh-4456.",tools/travis-test.sh
79a5e937927233b25b2b9a72bc07366133d44e31,"TST: work around outdated travis boxes

run manual apt-get update to pick up the latest py3 security update
",tools/travis-test.sh
a49903e0e73836a105c22538bdf6b2c45971128f,"Merge pull request #4508 from charris/update-1.8.1-release-notes

DOC: Update 1.8.1 release notes.",doc/release/1.8.1-notes.rst
e4d360b98f0e3efd4f2fa772b610afe539f46137,"DOC: Update 1.8.1 release notes.

Document changes in nditer.
",doc/release/1.8.1-notes.rst
864619533619c0e9406daac983926972eba1d8b1,"Merge pull request #4506 from charris/backport-1.8-gh-4502

Backport 1.8 gh 4502",doc/release/1.8.1-notes.rst,numpy/core/src/multiarray/nditer_api.c,numpy/core/tests/test_einsum.py
fbde895396247d349112b072f77c674efbf97d75,"DOC: Add gh-4502 to the 1.8.1 release notes.
",doc/release/1.8.1-notes.rst
b6ba8b4d562784150d73f339dfa09284f7c9b01d,"TST: Test for einsum/nditer fixed stride bug
",numpy/core/tests/test_einsum.py
51c71b56d2b4fbe4d42e361d66931da7a11ee476,"BUG: Buffered stride was erroneously marked fixed (fixes #4485)
",numpy/core/src/multiarray/nditer_api.c
e7e70a7795ba9821f7b29ac81044ddc408d373a3,"Merge pull request #4504 from charris/backport-1.8-gh-4466

Backport 1.8 gh 4466",bscript,doc/release/1.8.1-notes.rst,numpy/core/bento.info,numpy/core/setup.py,numpy/core/src/multiarray/common.c,numpy/core/src/multiarray/common.h,numpy/core/src/multiarray/multiarray_tests.c.src,numpy/core/src/multiarray/nditer_api.c,numpy/core/src/multiarray/nditer_constr.c,numpy/core/src/multiarray/nditer_pywrap.c,numpy/core/src/multiarray/nditer_templ.c.src,numpy/core/src/private/npy_partition.h,numpy/core/src/private/scalarmathmodule.h.src,numpy/core/src/scalarmathmodule.c.src,numpy/core/tests/test_nditer.py,numpy/linalg/tests/test_regression.py
e4a8034ad83e034ecaf2f932fbc816cde28f5233,"DOC: Document backport of gh-4466 in 1.8.1 release notes.
",doc/release/1.8.1-notes.rst
64410ff0e6797a04c70c27e84e64bbb318756246,"BUG: Backport nditer fixes and tests.

This is mostly gh-4466, but other bits had to come with it to
make it work.
",numpy/core/src/multiarray/common.c,numpy/core/src/multiarray/common.h,numpy/core/src/multiarray/multiarray_tests.c.src,numpy/core/src/multiarray/nditer_api.c,numpy/core/src/multiarray/nditer_constr.c,numpy/core/src/multiarray/nditer_pywrap.c,numpy/core/src/multiarray/nditer_templ.c.src,numpy/core/tests/test_nditer.py,numpy/linalg/tests/test_regression.py
dff4b0940c145c657b3573954a47d1670956c772,"ENH: Backport scalarmathmodule.h.src from 1.9.0-devel.

This is needed in order to backport npyiter fixes.
",bscript,numpy/core/bento.info,numpy/core/setup.py,numpy/core/src/private/npy_partition.h,numpy/core/src/private/scalarmathmodule.h.src,numpy/core/src/scalarmathmodule.c.src
5792fdbc3dda2a982b08f9fb9effe18e34663512,"Merge pull request #4501 from charris/backport-1.8-gh-4483

Backport 1.8 gh 4483",doc/release/1.8.1-notes.rst,numpy/core/src/umath/ufunc_object.c,numpy/core/tests/test_multiarray.py,numpy/core/tests/test_ufunc.py
c22185c4905e725a65662670906ab63c7265ff6a,"DOC: Add backport of gh-4483 to release notes.
",doc/release/1.8.1-notes.rst
afb4ef230a504be80c7d0fceb267026f7c34514c,"BUG: Fix commutativity of {dot,multiply,inner}(scalar, matrix_of_objs)

Fixes #2469 and #4482. Relaxes fail condition to allow subtype as documented.
",numpy/core/src/umath/ufunc_object.c,numpy/core/tests/test_multiarray.py,numpy/core/tests/test_ufunc.py
f961cac6a4bd823f721315f251c683c8f12062b7,"Merge pull request #4455 from juliantaylor/api-restore-1.8

restore npy_PyFile_Dup api for 1.8.x",doc/release/1.8.1-notes.rst,numpy/core/include/numpy/npy_3kcompat.h,numpy/core/src/multiarray/methods.c,numpy/core/src/multiarray/multiarraymodule.c
0bfcb0e36e90f1300a27848ce7d419292d0a53c0,"BUG: restore api for file npy_PyFile_Dup and npy_PyFile_DupClose

breaking the api breaks matplotlib build and pip installation.
Introduce npy_PyFile_Dup2 and npy_PyFile_DupClose2 as replacements
",doc/release/1.8.1-notes.rst,numpy/core/include/numpy/npy_3kcompat.h,numpy/core/src/multiarray/methods.c,numpy/core/src/multiarray/multiarraymodule.c
23f8dcf86cf692fcc9dce48350d5d86c0bc63ada,"REL: Release 1.8.1rc1
",pavement.py,setup.py
f816b0a90cc123dde4240d1d1fa22e582f65340d,"Merge pull request #4419 from juliantaylor/scalar-0d

backport 0d array power fix to 1.8",doc/release/1.8.1-notes.rst,numpy/core/src/multiarray/number.c,numpy/core/tests/test_umath.py
43f7ff7975540936be9c442906e17df8c581371a,"DOC: add fixed issue 4145 to release notes
",doc/release/1.8.1-notes.rst
27f9354e54f7ce4071d74c0d880c591f98266c70,"BUG: Only convert 0d arrays to scalars in power

Operations such as `x**array([2])` would convert the
2 into an integer and loose the dimension information,
because the array (at this time, it is deprecated),
supports `__index__` even though it is not 0-d.

This fixes it, by not trying the index machinery
when it was an array, since it is unnecessary.

Closes gh-4145
",numpy/core/src/multiarray/number.c,numpy/core/tests/test_umath.py
e5139b7aa2282b4bcd6adf1d418421b8f4815f77,"Merge pull request #4417 from charris/backport-1.8-gh-4401

Backport 1.8 gh 4401",doc/release/1.8.1-notes.rst,numpy/core/src/multiarray/scalartypes.c.src,numpy/core/tests/test_regression.py
812d3a9d73d963c1da811303bf5349f90b55f12a,"DOC: Update 1.8.1 release note issues with gh-4359.
",doc/release/1.8.1-notes.rst
588d790aeac88f96a1d72818a5dbbb80b8b61721,"BUG: Fix infinite recursion in str.format of flex arrays (Fixes #4359).

The implemention of __format__ on generic objects (PEP 3101) was changed to use string conversion when no better method is found.
",numpy/core/src/multiarray/scalartypes.c.src,numpy/core/tests/test_regression.py
4fc22603aba9772ffb31795242c85a35d3d160b2,"Merge pull request #4416 from juliantaylor/log1p-expm1-no-c99-1.8

BUG: fix non-c99 fallback for np.inf input to log1p/expm1",doc/release/1.8.1-notes.rst,numpy/core/src/npymath/npy_math.c.src,numpy/core/tests/test_umath.py
f53ab41ae5cb72a7fcd1077d6b51b512c69b9b29,"BUG: fix non-c99 fallback for np.inf input to log1p/expm1

closes gh-4225
",doc/release/1.8.1-notes.rst,numpy/core/src/npymath/npy_math.c.src,numpy/core/tests/test_umath.py
fb91c032c9cdf9fc139d443ff5569fb6d2b364ed,"Merge pull request #4413 from bfroehle/patch-1

DOC: Use tp_basicsize, not NPY_SIZEOF_PYARRAYOBJECT, for allocation",doc/release/1.8.0-notes.rst
c0f102100886d3857c3f880f910297cb03ebf354,"DOC: Use tp_basicsize, not NPY_SIZEOF_PYARRAYOBJECT, for allocation

As mentioned in #2975, add agreed upon text from #2980 to the release notes.

Closes #2980.
",doc/release/1.8.0-notes.rst
48019798cc3f5caeaf959b5e3fa41f98abf337fd,"Merge pull request #4410 from juliantaylor/doc-updates-1.8

Doc updates 1.8",doc/release/1.8.1-notes.rst,numpy/add_newdocs.py
9d1356d03ab29dcab790fd643170905795177550,"DOC: add object as_stride fix to release notes
",doc/release/1.8.1-notes.rst
2199e4300086ceaf84fe633a25881601be128089,"DOC: remove mention of quickselect in argpartition docs

the default algorithm is introselect
",numpy/add_newdocs.py
5e313b7dc94ce867f385d694479f61e3d0fcf478,"Merge pull request #4408 from charris/backport-1.8-gh-4377

Fix stride_stricks.as_strided function for object arrays",numpy/lib/stride_tricks.py,numpy/lib/tests/test_stride_tricks.py
bfaa0861c97f09fd5fb3a1e64104cb01f2ed7a34,"Fix stride_stricks.as_strided function for object arrays

Currently, calling as_strided for object array results in 'TypeError: Cannot change data-type for object array.'. Fix so that dtype of new array is only set for void dtype, as originally intended.
",numpy/lib/stride_tricks.py,numpy/lib/tests/test_stride_tricks.py
14425fc900a3b40022a83fa4b5f661c9732a9dfc,"Merge pull request #4406 from charris/backport-1.8-doc-fixes

Backport 1.8 doc fixes",numpy/add_newdocs.py,numpy/core/code_generators/ufunc_docstrings.py,numpy/core/src/umath/umathmodule.c,numpy/lib/function_base.py,numpy/lib/npyio.py,numpy/lib/twodim_base.py
fdde3144ab7cd59fcba3e5339cba557235f06fce,"Merge pull request #4405 from juliantaylor/fix-broken-histdd-backport

BUG: fix broken backport of histogramdd edge fix 96892ca60",numpy/lib/function_base.py
d930fe020c2ebff449ae86c3ebf19a8c3fcc69b1,"DOC: Fix documentation of normed in histogram2d and histogramdd.

The documentation misrepresented what happened, leaving out division
by the total number of sample points.

Also run spellcheck over function_base.py and twodim_base.py and break
some long lines.

Closes #2423.
",numpy/lib/function_base.py,numpy/lib/twodim_base.py
b1a54492371492e7df2e67238a661e684513cce0,"DOC: Improve the documentation of numpy.load.

Add the fact that for pickled files, a file-like object must also
support the readline() method.

Closes #2807.
",numpy/lib/npyio.py
7949c6878e18c2ead51b4f27e774a915103c8ee9,"DOC: Document ldexp and frexp.

The documentation needs to be in umathmodule.c as that is where ldexp
and frexp and defined. I moved the current documention from
add_newdocs.py to ufunc_docstrings.py, manually translated them into C
strings, and inserted them into umathmodule.c.

Closes #2354.
",numpy/add_newdocs.py,numpy/core/code_generators/ufunc_docstrings.py,numpy/core/src/umath/umathmodule.c
87382b5c63eb5ecf9460b062686f81cb17cb696a,"DOC: Correct and extend the documentation of fmod and remainder ufuncs.

Closes #3563.
",numpy/core/code_generators/ufunc_docstrings.py
f99a3cdd2857c73df55100b0ef6b3da220a7c522,"DOC, MAINT: Spell check and break long lines in ufunc_docstrings.py.

Some bits are also rephrased and nan is replaced by NaN where
appropriate.
",numpy/core/code_generators/ufunc_docstrings.py
1f7022c70b4ec64611ff311abe8779e4a2deda58,"BUG: fix broken backport of histogramdd edge fix 96892ca60
",numpy/lib/function_base.py
27425a32afbd92aaa5c9e5a8daa8b034e3fc0e6d,"Merge pull request #4404 from juliantaylor/backport-fixes4-1.8

more fixes for 1.8",doc/release/1.8.1-notes.rst,numpy/core/include/numpy/npy_common.h,numpy/lib/function_base.py,numpy/lib/tests/test_function_base.py,pavement.py,tools/travis-test.sh
f75cd3f41eba7c85a800fca24c39a21c646db444,"DOC: add histogram fix to release notes
",doc/release/1.8.1-notes.rst
74e6b4787822a42459ac54b27e94c9d1a5163cba,"BUG: enable windows large file support for mingw

The (non-lfs) posix api mingw otherwise uses does not seem to work on win32.
The windows lseek prototypes are available in the ancient mingw32 version
we use for our windows binaries but not the fseek/ftell, so they are
defined manually.
",numpy/core/include/numpy/npy_common.h
c9ede3a6ee09ce5bfb9db8fa962b460d7d91a7bf,"MAINT: add python3.4 to paver file
",pavement.py
841a04435463e8b72bcc38d5a7271deb48b2209d,"TST: fail on declaration-after-statement in travis test

required for windows compilers
",tools/travis-test.sh
96892ca601cbfdb95cbdef26e2f16f896f0b77c7,"BUG: Fix histogramdd treatment of events at rightmost binedge

Closes gh-4266
",numpy/lib/function_base.py,numpy/lib/tests/test_function_base.py
76ff0c8c695f906892d667f76e7f1c92a8814896,"Merge pull request #4403 from juliantaylor/release-notes-1.8.1

Release notes 1.8.1",doc/release/1.6.1-notes.rst,doc/release/1.6.2-notes.rst,doc/release/1.7.1-notes.rst,doc/release/1.7.2-notes.rst,doc/release/1.8.1-notes.rst,doc/source/release.rst
b0983790f2ae3e1bfadb2f46f608a533496eeeb5,"DOC: add 1.8.1 release notes
",doc/release/1.8.1-notes.rst,doc/source/release.rst
df3d529d0f7416f9a9b5370d16040469aa6b255a,"DOC: sync release notes with master
",doc/release/1.6.1-notes.rst,doc/release/1.6.2-notes.rst,doc/release/1.7.1-notes.rst,doc/release/1.7.2-notes.rst,doc/source/release.rst
551e8d7526e5943aa4d0a5882443837352ea531a,"Merge pull request #4390 from juliantaylor/backport-fixes3-1.8

Backport fixes to 1.8",numpy/core/function_base.py,numpy/core/numeric.py,numpy/core/src/multiarray/arraytypes.c.src,numpy/core/tests/test_function_base.py,numpy/distutils/system_info.py,numpy/lib/arraysetops.py,numpy/lib/npyio.py,numpy/lib/tests/test_arraysetops.py,numpy/testing/utils.py,site.cfg.example
5980b022736e45230c5f0107f2d0370c2433a276,"Merge pull request #4389 from juliantaylor/test-backports-1.8

Test backports 1.8",.travis.yml,tools/travis-test.sh
56d17bb6ad7e6757726ce72db58d178cbd2d3498,"Merge pull request #4388 from juliantaylor/mtrand-fix-1.8

mtrand fixes backport for 1.8",numpy/random/mtrand/mtrand.c,numpy/random/mtrand/mtrand.pyx,numpy/random/tests/test_random.py
74c3f40bbed71d3472ca1d9feddbb4291aa8108f,"DOC: assert_no_warnings versionadded 1.8 -> 1.7
",numpy/testing/utils.py
ec9b7de2c2612c0f369b2bb55a77bbed96273fd0,"DOC: some versionadded notes
",numpy/lib/npyio.py,numpy/testing/utils.py
fcb713b773aacd7b0353a9e38928021d0613a0bc,"ENH: hint that nelem == 1 branch is more likely

improves performance for simple takes by 10%, chunked takes spend more
time copying so the less dense code matters less.
",numpy/core/src/multiarray/arraytypes.c.src
ea6b0df65db7d0fd0e4cbf91a6f37948d0bb8de6,"BUG: Fixed issue 3504, and added tests for complex support
",numpy/core/function_base.py,numpy/core/tests/test_function_base.py
9cc569f257d3b091b339eaf6d161ff36d71d2ee9,"Fix seterr example for resetting to old settings
",numpy/core/numeric.py
2eb1659a905db7b4ec115bc10934768ca67c98c6,"BUG: Fixes #2799
Use `np.sort` instead of `sorted` when the input is a list and no indices
are requested. Fixes #2799.
",numpy/lib/arraysetops.py,numpy/lib/tests/test_arraysetops.py
6d554c2e26161c93d9e667d773f06e53f5d9bdbe,"DOC: update openblas fork warning with fixed pthread build info
",site.cfg.example
e459a7938e0708a365045d4c59096ea1a55c5bc8,"BUG: get_info('openblas') does not read libraries key

The documented libraries tag in the site.cfg is not read by the configuration,
instead openblas_libs is used, this is inconsistent with atlas configuration.
So libraries first and then try openblas_libs for backward compatibility.

Also ensure check_libs returns None instead of a dict of empty lists if
nothing is found.
",numpy/distutils/system_info.py
0378adbf6586a9ed39d141f633c740a4d0de3a5d,"TST: switch i386 build to python3.4 defaulting ubuntu 14.04

to do that fix a missing $DIST variable usage in the test script
",.travis.yml,tools/travis-test.sh
14a0f9feea718f4af576afdac9a116b7d69363ec,"TST: bootstrap chroot in tmpfs

during bootstrap eatmydata is not available in the chroot so it takes a
significant time. Avoid this by placing the whole chroot in a tmpfs
ramdisk.
",tools/travis-test.sh
a0b907e4072244babd7a94ca2932a2524e4293d6,"Regenerate cython file for latest fixes
",numpy/random/mtrand/mtrand.c
f3d6ffe1051b55843716f7f5ea1c1e32c556e52c,"BUG: handle non integer types for multinomial/dirichlet size

Closes gh-3173
",numpy/random/mtrand/mtrand.pyx,numpy/random/tests/test_random.py
f2ac231dc042083ba1da4f5dbeb69e53cb5c10d5,"BUG: fix shuffling of flexible dtypes and masked arrays

closes gh-4270 and gh-3263
",numpy/random/mtrand/mtrand.pyx,numpy/random/tests/test_random.py
23f4b1eecd7d9c540b2e41c26eaa3e884d0aae06,"Merge pull request #4367 from charris/backport-1.8-buffer-fixes

Backport 1.8 buffer fixes",numpy/core/src/multiarray/buffer.c,numpy/core/src/multiarray/numpymemoryview.c,numpy/core/tests/test_multiarray.py
abd62ef506487dd3f27d49c718639f0d5363cd5c,"BUG: Hang on to originally filled Py_Buffer view.

When filling the python buffer view object, python sets
view.shape = &view.len (ndim=1, so this works). If we copy
the view info into our Memoryview object instead of having
it directly filled &view.len points into nirvana.

Closes gh-3175
",numpy/core/src/multiarray/numpymemoryview.c
a020e4fbf79b37e5dfe550daf8b311c23b43c5a3,"BUG: Whitespace stripping in pep3118 format parser and early free

Closes gh-3348
",numpy/core/src/multiarray/buffer.c
fb9ab547d14d878b44fbcd996ef09aa485d4c53d,"ENH: core: add a fast path for PEP3118 buffer string parsing

The call back to Python numpy.core._internal._dtype_from_pep3118 is an
unnecessary large overhead for the most common case, when the buffer
passed in has a simple non-composite type.

This commit adds a fast path for the simple case.
",numpy/core/src/multiarray/buffer.c,numpy/core/tests/test_multiarray.py
a89a36e53a87d8254701f328d36ed0ba98ff106c,"Merge pull request #4306 from juliantaylor/win-tempfile-fix-1.8

Windows tempfile fix for 1.8",numpy/core/tests/test_memmap.py,numpy/core/tests/test_multiarray.py,numpy/f2py/docs/usersguide/index.txt,numpy/f2py/f2py.1
c720b0013d336ae35d89ae4bcd3a16cc5f5276ee,"DOC: remove mktemp mention from f2py manpage
",numpy/f2py/docs/usersguide/index.txt,numpy/f2py/f2py.1
1968cf90fc49a4514de8749e5155a8e5f0421bd9,"TST: avoid opening files twice which doesn't work on windows
",numpy/core/tests/test_memmap.py,numpy/core/tests/test_multiarray.py
104a1674110407de5ee379d47125e2aa02bc8ee8,"Merge pull request #4297 from juliantaylor/backport-fixes-1.8

Backport fixes to 1.8",MANIFEST.in,numpy/core/_methods.py,numpy/core/src/multiarray/array_assign_scalar.c,numpy/core/src/multiarray/ctors.c,numpy/core/src/multiarray/datetime_strings.c,numpy/core/src/multiarray/descriptor.c,numpy/core/src/multiarray/iterators.c,numpy/core/src/multiarray/methods.c,numpy/core/src/multiarray/multiarraymodule.c,numpy/core/src/multiarray/nditer_pywrap.c,numpy/core/src/multiarray/scalarapi.c,numpy/core/src/umath/ufunc_object.c,numpy/core/tests/test_memmap.py,numpy/core/tests/test_multiarray.py,numpy/distutils/fcompiler/gnu.py,numpy/f2py/__init__.py,numpy/f2py/f2py2e.py,numpy/lib/financial.py,numpy/lib/tests/test_financial.py,numpy/lib/tests/test_io.py,setup.py
d85fc7810985cc92f7ecd98ed59ddd1ce7be32b9,"BUG: don't change dtype in PyArray_CheckFromAny if it NPY_IGNORE

Closes gh-4254
",numpy/core/src/multiarray/ctors.c
e1fc6bd959d7406e1ad4a1d1ff1d7353b40e5423,"BUG: Fix mean, var, std methods for object arrays.

This takes care to preserve the object type for scalar returns and
fixes the error that resulted when the scalar did not have a dtype
attribute.

Closes #4063.

Conflicts:
	numpy/core/tests/test_multiarray.py
",numpy/core/_methods.py,numpy/core/tests/test_multiarray.py
2d1dfe4be5f32c4875462223cceb59d7a206eb02,"BUG: fix use of capi without gil in ufunc.at

without a pointer to store the error NpyIter_ResetBasePointers uses
python errors to signal problems which requires the GIL.

Conflicts:
	numpy/core/src/umath/ufunc_object.c
",numpy/core/src/umath/ufunc_object.c
1a1bdbc949bf8c95f85bc742ff598b5eab33367a,"BUG: fix missing memory allocation failure checks
",numpy/core/src/multiarray/array_assign_scalar.c,numpy/core/src/multiarray/ctors.c,numpy/core/src/multiarray/datetime_strings.c,numpy/core/src/multiarray/descriptor.c,numpy/core/src/multiarray/iterators.c,numpy/core/src/multiarray/methods.c,numpy/core/src/multiarray/multiarraymodule.c,numpy/core/src/multiarray/nditer_pywrap.c,numpy/core/src/multiarray/scalarapi.c
6bd9d25f2240b3faba280c7114e3640a1b42ba74,"BUG: fix two missing array creation failure checks
",numpy/core/src/multiarray/ctors.c,numpy/core/src/multiarray/nditer_pywrap.c
abaae8b2b87e1f61ef118f2bd72d7974af28662e,"BUG: IRR was returning nan instead of valid negative answer.

This change corrects the following two bugs in numpy.irr:

* When the solution was negative, numpy.irr returned nan instead of the
  correct solution because of the mask applied to the roots. Corrected
  by removing the mask that 0 < res < 1.
* When multiple roots were found, numpy.irr was returning an array of
  all roots rather than a single float. This bug was corrected by
  selecting the single root closest to zero (min(abs(root)).

With these corrections, numpy.irr returns the same result as the
corresponding spreadsheet function in LibreOffice Calc for all test
cases (additional test cases were added to cover cases with multiple
positive and negative roots)
",numpy/lib/financial.py,numpy/lib/tests/test_financial.py
b7e7c06f4547e71132db1c997c36f948043ec3ff,"TST: fix test_io.TestSavezLoad
",numpy/lib/tests/test_io.py
961c43da78bf97ce63183b27c338db7ea77bed85,"ENH: remove insecure mktemp use

mktemp only returns a filename, a malicous user could replace it before
it gets used.
",numpy/core/tests/test_memmap.py,numpy/core/tests/test_multiarray.py,numpy/f2py/__init__.py,numpy/f2py/f2py2e.py,numpy/lib/tests/test_io.py
c09dc61cd0bd38bcd169a3c480e43d437a200813,"Detect vendor versions of GNU Compilers

Cray and other HPC vendors provide patched versions of the GNU compilers
with modified version strings.  Use re.search instead of re.match in the
version detection scripts to account for modified version strings.

Ref: https://github.com/numpy/numpy/issues/4259
",numpy/distutils/fcompiler/gnu.py
2b1877a1a58a608d10b221b7bf5b870d99bce8d2,"BLD: check submodules on sdist

prevents broken source distributions due to not up to date submodules.
",setup.py
4b0d658c9a3cc4b67fcb7870efa2e05478fb3c03,"MAINT: setup.py improvements - allow some setuptools commands to work.
",setup.py
2182833df28b81e571338f74f96b050de391645c,"BLD: exclude compiled python files in source distribution

they could accidentally appear in the source distribution if sdist was
run after a make -C doc.
",MANIFEST.in
32b14b6ed421b4ecbb13c16fb888855bb47c1c64,"BLD: include f2py docs in source distribution

update was forgotten in the move to the doc/folder
",MANIFEST.in
95f7a469b1e9ce460e31c41e1bd897ceff396f6b,"Merge pull request #4235 from juliantaylor/copybutton-1.8

Backport PR#4233 to 1.8",doc/scipy-sphinx-theme
e0a8a09a88b870a4b27f1749becfc6656066d573,"MAINT: update scipy-sphinx-theme

Adds copybutton that toggles "">>>"" in code samples.
",doc/scipy-sphinx-theme
4ec9304f021603422cf55e39602ac401bb18346b,"Merge pull request #4230 from cgohlke/patch-1

BLD: Fix ANSI C syntax error",numpy/core/src/multiarray/multiarraymodule.c
5c8e05f8e59973f7f71a07d683ceb7aa31f50513,"BLD: Fix ANSI C syntax error

Fixes msvc9/10 error C2143: syntax error : missing ';' before 'type'",numpy/core/src/multiarray/multiarraymodule.c
3765ffe0ca7f21ba26a31b8f66a417861b04eb26,"Merge pull request #4226 from juliantaylor/backports-1.8

Backports more fixes to 1.8",numpy/add_newdocs.py,numpy/core/include/numpy/ndarraytypes.h,numpy/core/src/multiarray/buffer.c,numpy/core/src/multiarray/conversion_utils.c,numpy/core/src/multiarray/multiarraymodule.c,numpy/core/src/multiarray/nditer_api.c,numpy/linalg/lapack_lite/python_xerbla.c
