c79bcec14a12a38a1563d1189324257e5df71397,"fix so patch is applied correctly.
",numpy/core/src/arraytypes.inc.src
6718010e16f63cf831a013282ca7d3208470a476,"Added python 2.3 patch to 0.9.4 release.
",numpy/core/setup.py,numpy/core/src/arraytypes.inc.src
a0b249c37a09feacdc48740ddfa16f7f4357517c,"Remove svn_version lookup in release.
",numpy/version.py
f32a4e4d4836da7cf9e43f7b14e31a3922713b35,"Comment change in fortranobject.c better.
",numpy/f2py/src/fortranobject.c
34b8ce671b12e9ee6740dc4df32fafc2eae44f64,"Added LICENSE.txt to distribution. Fixed f2py check_and_fix_dimensions to not reverse dimensions.
",MANIFEST.in,numpy/f2py/src/fortranobject.c
beb7e7c80b325df0c16419ce63d87cc2c6ea5ada,"Added tests for fromstring.
",numpy/core/tests/test_multiarray.py
f18a0fab69c9da73e3f30231403abede272de1c4,"Fix uninitialized variable.
",numpy/core/src/multiarraymodule.c
4072234146d63644ed0e658f685a5575ca051d9d,"Fix a few more improper uses of .dtype attribute.
",numpy/core/defchararray.py,numpy/linalg/linalg.py
1b409ce9fe55ebf61eaa5d295753b0b8ad1efcf2,"Update C-API version.
",numpy/core/include/numpy/arrayobject.h
e5a5e245f19f3bf6aa606a43e262be5431ade27f,"Added ability to read ascii strings in fromstring.
",numpy/core/include/numpy/arrayobject.h,numpy/core/src/arraytypes.inc.src,numpy/core/src/multiarraymodule.c
d51b059ba26db75b2358a1ee2eafdd2398eecb6a,"Fix arange to accept None and treat it as if it hadn't been passed in.
",numpy/core/src/multiarraymodule.c
67e756592f6ebec479e404a104380ca373ad11f1,"Add a BSD-type LICENSE.txt file
",LICENSE.txt
6b724c9e4798b919858c3a980c3e865eb4a055c1,"A few safety checks for platforms where SIZEOF_LONG < SIZEOF_INTP -- windows 64-bit I think
",numpy/core/src/arrayobject.c
a0a42fce29c83184f730b08cf48828edd35bb99b,"Fix conversions to NaN for other floating types
",numpy/core/src/arraytypes.inc.src
3249d3b68eb2132ab0e1dcbf228618bcb326c417,"Fix so that None converts to Nan in array conversion.
",numpy/core/src/arraytypes.inc.src
f3a4e8ff8d76dbadd59d4d4e2efc359d3b2db091,"Fix str representation for rank-0 arrays
",numpy/core/numeric.py
97f03d64d86f6d7a7c9135c44ef97baf17e6ce15,"Fix segfault when using subdescr.
",numpy/core/src/arraytypes.inc.src
e45d0eb3dd55af9e1347bf39307be5695c67bd7b,"Change License text to NumPy License (permission granted by Pearu)
",numpy/f2py/auxfuncs.py,numpy/f2py/capi_maps.py,numpy/f2py/cb_rules.py,numpy/f2py/cfuncs.py,numpy/f2py/common_rules.py,numpy/f2py/crackfortran.py,numpy/f2py/doc/collectinput.py,numpy/f2py/doc/index.html,numpy/f2py/docs/README.txt,numpy/f2py/docs/THANKS.txt,numpy/f2py/f2py.1,numpy/f2py/f2py2e.py,numpy/f2py/f90mod_rules.py,numpy/f2py/func2subr.py,numpy/f2py/rules.py,numpy/f2py/setup.py,numpy/f2py/use_rules.py
